Partner Name;lat;long;price_factor;Capacity of Biggest Vehicle Given;Capacity of Smallest Vehicle Given;Vehicles Given
WESTREISEN - Theo Langen 1;41.757255;15.424923000000001;1.0;58.0;50.0;3.0
BN Busbetrieb Nieder GmbH 1;45.0518249;11.779291100000027;1.0;58.0;50.0;3.0
Stanglmeier Touristik GmbH & Co. KG 1;41.841947999999995;12.466672;1.0;74.0;55.0;7.0
Monikas Busreisen 1;44.6983;7.75;1.0;72.0;25.0;7.0
Royer 1;45.45493270000001;11.9711571;1.0;75.0;15.0;25.0
BRH ViaBus GmbH 1;45.47;11.7;1.0;75.0;15.0;25.0
Ludwig Tours 1;41.909733;12.588395;1.0;0.0;0.0;35.0
Cosepuri Soc. coop. p. a. 1;42.570721;12.624189999999999;1.0;0.0;0.0;35.0
Helmut Ziegelmeier Reisen GmbH & Co. KG 1;42.758340000000004;11.112689;1.0;55.0;19.0;18.0
HVB Wiest + Schürmann - Hechinger Verkehrsbetriebsgesellschaft mbH 1;43.949765;8.141295;1.0;63.0;19.0;12.0
STEWA Touristik 1;45.822947;10.027229;1.0;63.0;19.0;12.0
Engel Touristik GmbH 1;53.74965;10.5626413;1.0;57.0;0.0;4.0
Erreviaggi srl 1;44.698126;7.834322;1.0;0.0;0.0;0.0
MeinReisering Rosi Reisen GmbH 1;43.109652000000004;12.362404;1.0;61.0;9.0;50.0
Reisedienst Gumann GmbH 1;41.901755;12.537121;1.0;56.0;17.0;23.0
WINK GmbH 1;45.720636999999996;11.725048;1.0;83.0;25.0;12.0
Omnibuscenter LEO REISEN GmbH & Co. KG 1;45.139342;7.129033;1.0;82.0;22.0;20.0
Flaegel Reisen 1;45.332372;8.879951;1.0;0.0;0.0;0.0
Heinrich Müller Inh. Uwe Müller Omnibus- Linien- Berufs- u. Ausflugsverkehr 1;45.121778000000006;8.480839999999999;1.0;0.0;0.0;0.0
Reisedienst Kühn 1;45.667916;8.704763;1.0;61.0;8.0;17.0
Regnault Autocars 1;44.731590000000004;8.306111999999999;1.0;63.0;19.0;9.0
Demellier Tourisme 1;53.19465;8.5571413;1.0;49.0;25.0;3.0
Var Voyages Service 1;50.12905;8.582761300000001;1.0;78.0;16.0;26.0
Pineau Voyages 1;50.7684;9.2900013;1.0;78.0;16.0;26.0
Kofahl Reisen GbR 1;41.66621;13.255231;1.0;55.0;24.0;24.0
Oelker - Reisen 1;45.361468;10.221474;1.0;80.0;29.0;18.0
Baspi Bus 1;43.516832;13.233115;1.0;80.0;8.0;60.0
Engelmann Reisen 1;41.053331;14.629145999999999;1.0;87.0;34.0;10.0
Ramsbrock Busreisen 1;41.93456;12.591283;1.0;62.0;16.0;52.0
Bustouristik Happyday 1;42.649612;12.030679;1.0;55.0;8.0;7.0
Wolf-Reisen Halberstadt 1;53.3904473;8.714782099999999;1.0;78.0;48.0;4.0
Berg Reisebus- Omnibusbetrieb 1;45.582228;9.27215;1.0;55.0;19.0;20.0
Mayer GmbH 1;46.289876;11.234233999999999;1.0;88.0;19.0;18.0
S&F Tours 1;40.874678;15.303007999999998;1.0;54.0;8.0;20.0
Timm Reisenunternehmen GmbH 1;49.7272634;6.5981413;1.0;0.0;0.0;0.0
Ulli Reisen 1;48.2374869;16.3705082;1.0;84.0;8.0;70.0
Mela-Reisen Inh. Günter Mende 1;52.21267;9.2915813;1.0;52.0;52.0;3.0
Taxiunternehmen Bernd Kratzer 1;53.42957320000001;9.9800213;1.0;82.0;16.0;12.0
ABeR - Alternativ Bus Reisen 1;50.7729824;6.1278882;1.0;56.0;8.0;60.0
KÖGEL TOURISTIK GmbH & Co.KG 1;52.3468857;14.5489766;1.0;50.0;50.0;2.0
Busvermietung24 GmbH 1;49.9063034;10.938721300000001;1.0;78.0;8.0;30.0
Busunternehmen Mario Weckbrod 1;49.9206931;10.9029019;1.0;78.0;8.0;30.0
Taxi-Reisen-Schween Inh. Lutz Schween 1;41.546985;13.506965;1.0;56.0;50.0;25.0
Kettler’s Reisedienst GmbH 1;51.3209285;6.283487999999999;1.0;59.0;22.0;8.0
BUSCONTACT GmbH 1;41.894824;12.377925999999999;1.0;90.0;19.0;14.0
Braasch Reisen 1;41.562909999999995;12.850817999999999;1.0;64.0;19.0;12.0
ExpressBus GmbH 1;45.62182120000001;7.776717999999999;1.0;94.0;19.0;21.0
Hamburger Bus Service & Travel GmbH 1;45.639589;7.718946000000001;1.0;94.0;19.0;21.0
Inter 2000 SARL 1;40.20278;18.243225;1.0;0.0;0.0;0.0
HOLIDAY LAND Möller Reisen OHG 1;41.006096;14.728923000000002;1.0;63.0;22.0;9.0
Autocars Majesti 1;48.1572;8.483531300000001;1.0;78.0;8.0;20.0
Landuzzi 1;50.9773;14.110821300000001;1.0;56.0;8.0;15.0
Transports Guillermin / St Symphorien 1;48.87622;9.3959413;1.0;63.0;36.0;6.0
mietbus24 GmbH 1;48.2049736;9.0384913;1.0;70.0;44.0;11.0
Hagemeier Reisen 1;48.2831456;8.8363439;1.0;70.0;44.0;11.0
Autokraft GmbH 1;50.13929;8.351311299999999;1.0;51.0;23.0;4.0
OMR Omnibus- und Kfz-Handel Mario Röttgen GmbH 1;50.1395409;8.3447946;1.0;51.0;23.0;4.0
Omnibusreisen Marcus Losert GmbH & Co. KG 1;47.4244662;9.7384004;1.0;74.0;30.0;8.0
Bobus - Landuzzi 1;51.33633;12.2984313;1.0;65.0;8.0;53.0
Cars Evasion 1;50.91492;6.378211299999999;1.0;78.0;0.0;16.0
Nice Evasion 1;52.43478;13.584021300000002;1.0;57.0;6.0;8.0
VR VIP lines Berlin 1;48.6226861;11.7766453;1.0;78.0;8.0;15.0
Tacavl 1;52.34707;14.4993313;1.0;46.0;46.0;2.0
Unholzer Reisen GmbH & Co. KG 1;48.741099;7.908537;1.0;53.0;48.0;220.0
Strakeljahn Reisen 1;49.311040000000006;8.449981300000001;1.0;63.0;19.0;10.0
Bröskamp Reisen 1;48.3973588;10.598340400000001;1.0;57.0;26.0;25.0
AK Touristik 1;48.3984844;10.5970413;1.0;57.0;26.0;25.0
Gerdes Reisen 1;44.506084;11.420243;1.0;62.0;16.0;100.0
Waydev 1;48.29092;10.667031300000001;1.0;50.0;28.0;6.0
Weigt Omnibus und Reisedienst 1;48.368140000000004;8.9615013;1.0;63.0;32.0;7.0
TIGULLIO MARCONE 1;49.687952;8.172860499999999;1.0;78.0;78.0;25.0
Quitzk Omnibusbetrieb GmbH & Co.KG 1;51.869431299999995;7.7403996;1.0;78.0;36.0;12.0
Weimar-Tour GmbH 1;44.372135;8.274098;1.0;54.0;9.0;15.0
Johannsen Busreisen 1;51.6705994;7.151881200000001;1.0;78.0;15.0;20.0
Bustouristik Tonne 1;49.62062;11.233711300000001;1.0;51.0;8.0;7.0
Märkl-Reisen 1;49.8569974;7.892309;1.0;82.0;2.0;30.0
Reichert Bus & Touristik 1;49.8969934;7.480751299999999;1.0;82.0;2.0;30.0
Nouvel Horizon / Bonnet Tourisme 1;51.701;14.3617513;1.0;51.0;46.0;5.0
CARONTE 1;53.6911924;11.1231038;1.0;0.0;0.0;0.0
Polbus-PKS Sp. z O.O. 1;52.2310758;9.1569676;1.0;53.0;50.0;2.0
Kompass Komfort Europa Inh. Igor Boreicha 1;52.25594279999999;9.455528900000001;1.0;50.0;24.0;2.0
Courriers du Midi 1;49.2535299;3.9850489000000002;1.0;57.0;20.0;4.0
Mariot Gamelin 1;46.557137100000006;0.312372;1.0;65.0;8.0;10.0
Voyages Catteau 1;46.2984047;0.2152589;1.0;65.0;8.0;10.0
RUGGERI MAURIZIO AUTONOLEGGIO 1;43.1409505;6.0426934;1.0;53.0;7.0;6.0
Alois Pfeffer Verkehrsunternehmen e.K. 1;47.5244036;-1.6434541;1.0;93.0;7.0;50.0
Autocars Burle 1;54.1535132;12.0029283;1.0;0.0;0.0;0.0
Autocars TSL 1;52.066790000000005;9.887571300000001;1.0;0.0;0.0;0.0
Raoux Voyages 1;43.793026;11.19892;1.0;59.0;5.0;8.0
Voyages Marcot 1;50.8362;12.890111300000001;1.0;0.0;0.0;0.0
Cattazzo s.r.l. 1;49.97059;8.564781300000002;1.0;55.0;48.0;6.0
GBB Omnibusbetrieb 1;49.0215533;12.0882566;1.0;91.0;8.0;22.0
FIORE BUS 1;50.013586;12.098018;1.0;91.0;8.0;22.0
RIGATO AUTOSERVIZI 1;51.89004;11.0341413;1.0;0.0;22.0;0.0
BIURO PODRÓ?Y INTERGLOBUS TOUR SP. J. 1;53.8698323;10.683245199999998;1.0;0.0;0.0;40.0
GRUPPO GIGANTE SRL 1;49.397152;8.8284593;1.0;55.0;15.0;0.0
Winterhalter-Reisen 1;49.47678;8.591781300000001;1.0;50.0;8.0;5.0
EK-Reisen 1;52.8364993;10.6798407;1.0;50.0;50.0;1.0
Sinbad-Reisen 1;52.2867999;10.524424699999999;1.0;58.0;33.0;11.0
LANG Busreisen 1;52.524467;13.4799842;1.0;83.0;26.0;0.0
K. Lange Reisen OHG 1;52.470066;12.4519733;1.0;8.0;4.0;3.0
Graf Recke GmbH 1;53.5590701;9.9148393;1.0;44.0;0.0;0.0
Giosy Tours SA 1;47.74447;8.949731300000002;1.0;81.0;49.0;12.0
Omnibusse Richard Petz GmbH 1;45.543307;-4.246688;1.0;0.0;0.0;0.0
Düring Events GmbH / Pivotti VIP Liner 1;51.87225;12.6936213;1.0;27.0;18.0;2.0
Autovermietung MINEX GmbH 1;53.2121;13.3131813;1.0;55.0;13.0;7.0
Halbasch - Reisen 1;52.103159600000005;8.2058126;1.0;86.0;8.0;7.0
Becker Busreisen Hamburg 1;52.5257576;13.412894099999999;1.0;54.0;28.0;5.0
Voyages Cordier SAS 1;53.33406;13.095611300000002;1.0;59.0;19.0;7.0
Val D'Anjou Voyages 1;47.3055435;7.877624900000001;1.3;72.0;27.0;4.0
Verdié Autocars 1;53.55591139999999;10.030030499999999;1.0;80.0;0.0;2.0
A. Faur 1;48.898510200000004;2.2241272999999997;1.0;73.0;50.0;25.0
ATW Zentrum Kussatz & Mausolf GbR 1;54.1081296;10.4747894;1.0;56.0;0.0;0.0
Busreisen Beuschel 1;48.7853376;1.9720044999999997;1.0;63.0;10.0;10.0
LUX Voyage 1;44.52766;11.346478;1.0;62.0;6.0;17.0
Gérardin Autocars 1;45.9489489;4.2117983;1.0;63.0;9.0;88.0
TDS 1;45.543307;-6.246688;1.0;0.0;0.0;0.0
Autocars de Rozeville 1;52.3515431;13.6101337;1.0;58.0;7.0;5.0
SARL AUTOCARS JAOUL 1;53.8016431;10.398845300000001;1.0;78.0;44.0;16.0
Livenais Voyages 1;54.27828;10.156051300000001;1.0;78.0;44.0;16.0
Autocars BEREYNE 1;54.761326000000004;9.419625;1.0;78.0;44.0;16.0
Azur Voyages 34 1;50.131599200000004;11.529608;1.0;80.0;20.0;30.0
Schneider Reisen 1;49.90643;11.604911300000001;1.0;80.0;20.0;9.0
Robin Autcocars 1;44.527644;11.346489;1.0;62.0;6.0;17.0
TDS Autocars 1;44.490556;0.9110219999999999;1.0;65.0;22.0;29.0
L'Oiseau Bleu 1;43.6717678;7.2209056;1.0;65.0;19.0;20.0
Schidler 1;52.523540000000004;13.296221300000001;1.0;81.0;19.0;15.0
Metz Evasion 1;43.681844399999996;6.9716667;1.0;61.0;19.0;40.0
LCN VOYAGES - Les Cars NIMESKERN 1;48.19865;11.329711300000001;1.0;58.0;8.0;10.0
SAS JOLLIVET 1;51.982035499999995;8.543968199999998;1.0;60.0;50.0;3.0
SAS PERRIN TOURISME 1;51.9677144;8.2404192;1.0;80.0;17.0;25.0
AUTOCARS DELANNOY 1;54.2797997;10.158344;1.0;44.0;30.0;8.0
Cars DUNOIS 1;53.2037848;7.8707991999999996;1.0;66.0;16.0;13.0
Atlantic Cars 1;48.6697415;3.0898032000000004;1.0;69.0;8.0;10.0
Heizmann-Reisen 1;51.1671289;13.4174111;1.0;0.0;0.0;0.0
Autocars GROUSSIN 1;44.316217;9.327427;1.0;59.0;21.0;16.0
Transport Fontanon 1;51.769872;14.184976;1.0;57.0;42.0;6.0
Autocars Soummane 1;51.0598;11.238311300000001;1.0;53.0;18.0;8.0
Copenhagen Coach 1;53.366723;9.703795699999999;1.0;53.0;49.0;5.0
Keolis Touraine 1;53.292123200000006;13.330866;1.0;56.0;20.0;20.0
Autocars Darbier 1;49.4228;7.611160000000001;1.0;51.0;36.0;2.0
Tourisme RAJAT 1;53.56769;11.38156;1.0;57.0;8.0;4.0
Wunderwald Berlin 1;50.876445700000005;2.4692067000000004;1.0;83.0;18.0;10.0
Cars Est Voyages 1;45.523319;9.241194;1.0;60.0;8.0;16.0
Jezequel Tourisme 1;51.0944494;17.0346843;0.6;51.0;19.0;0.0
Egon's Turist- & Minibusser A/S 1;51.224090000000004;6.6992012999999995;1.0;83.0;19.0;16.0
VAL D'ENZA TOURS 1;43.589486;3.8874947;1.0;57.0;33.0;7.0
AUTOCARS 3B Voyages 1;50.53192;2.8104682999999997;1.0;94.0;8.0;40.0
Sarro Voyages 1;50.6591805;2.9683137000000004;1.0;60.0;20.0;10.0
AUTOCARS HIRUAK BAT 1;42.508826;14.161098;1.0;0.0;0.0;0.0
Publitour Transport 1;48.79229;13.26035;1.0;80.0;8.0;15.0
AUTOSERVIZI DOSSENA 1;43.4491706;5.6799257;1.0;63.0;9.0;45.0
Launoy Tourisme / Rambervilliers 1;45.7482646;4.914758;1.0;67.0;10.0;10.0
Chauchard Autocars / Blagnac 1;43.884091;4.96508;1.0;55.0;6.0;14.0
Boubet Autocars 1;48.0433156;6.400363099999999;1.0;0.0;0.0;10.0
Omnibusbetrieb Reise-Wünsche 1;45.504758;11.168319;1.0;64.0;9.0;14.0
NÖL Reisen GmbH 1;51.6738007;7.155210600000032;1.0;78.0;0.0;4.0
Michel Voyages 1;41.125457;16.550946;1.0;56.0;16.0;10.0
Marseille Provence Evasion 1;45.395175;11.95358;1.0;53.0;8.0;33.0
Rhones Alpes Evasion 1;53.41995;14.551395300000001;0.6;59.0;5.0;13.0
Berthelet 1;40.606051;16.970826000000002;1.0;54.0;8.0;20.0
Keolis Oise 1;47.940329999999996;7.95475;1.0;48.0;44.0;10.0
Autocars Jeanneret 1;47.796333600000004;9.4288773;1.0;52.0;48.0;3.0
Lieutaud 1;50.6920006;17.8664272;0.6;83.0;10.0;125.0
Pierrot Voyages 1;49.170570399999995;10.302308499999981;1.0;56.0;53.0;2.0
Amand Voyages 1;53.105583200000005;9.791761300000001;1.0;0.0;0.0;0.0
Les Voyages de l'Odon 1;54.2981731;9.715311300000002;1.0;52.0;57.0;4.0
Transports PIEL 1;46.156247799999996;8.9456079;1.3;0.0;0.0;0.0
Lheureux Lemonnier 1;48.54507;12.09346;1.0;51.0;49.0;1.0
CARS HANGARD 1;52.481809999999996;13.386239999999999;1.0;53.0;16.0;12.0
VOYAGES RAOULT MOISE 1;52.45863000000001;13.395089999999984;1.0;18.0;18.0;1.0
Denis Voyages 1;51.989135499999996;14.301668899999981;1.0;60.0;53.0;4.0
KEOLIS Seine Maritime 1;53.551976;10.009363800000001;1.0;56.0;20.0;9.0
CARS SIMPLON 1;47.4752141;-0.5159304;1.0;69.0;21.0;5.0
Voyages Taquet 1;47.456390500000005;-0.49033990000000005;1.0;63.0;8.0;0.0
Delannoy Voyages 1;43.5518911;1.3534262;1.0;78.0;8.0;0.0
Autocars Gilles SPRL 1;43.5707251;1.4244623;1.0;71.0;9.0;52.0
Voyages Degrève 1;52.14488;14.634320000000002;1.0;44.0;44.0;1.0
PULMINO COACHES SPRL 1;52.35138999999999;14.487142199999996;1.0;49.0;49.0;1.0
SAP AUTONOLEGGI 1;46.7499598;4.8457434;1.0;61.0;8.0;0.0
Reisebüro Növermann GmbH 1;44.840526000000004;0.236922;1.0;63.0;15.0;40.0
Autocars Albanais voyages 1;44.237645;0.386707;1.0;63.0;15.0;40.0
Autocar Saba 1;44.690529;-0.519292;1.0;63.0;15.0;40.0
Menguy Burban 1;43.6113903;1.4928801999999999;1.0;0.0;0.0;0.0
Autocars BASSET 1;44.8592292;-0.5705401;1.0;93.0;20.0;12.0
Capitale Champagne 1;43.767259;3.8653199999999996;1.0;0.0;0.0;0.0
Autocars Sarlin 1;49.514327;3.164094;1.0;61.0;53.0;7.0
Transports Pages 1;49.986163;3.555136;1.0;61.0;53.0;7.0
Autocars Metereau 1;50.749309000000004;2.27251;1.0;63.0;8.0;40.0
SALVADORI AUTOLINEE 1;43.547499;3.8290498;1.0;57.0;50.0;3.0
Sofadou Voyages 1;47.1928445;7.3938046;1.3;0.0;0.0;0.0
Cab Solution 1;45.767362899999995;3.3026480000000005;1.0;60.0;22.0;3.0
Aquitaine Cars 1;43.7345028;7.2888969;1.0;80.0;63.0;10.0
SARL TRANSHORIZON AUTOCARS/ Saint-Denis-de-Pile & Montguyon 1;43.574164399999994;1.4488511999999998;1.0;80.0;63.0;10.0
TEIXEIRA VOYAGES 1;48.8719063;2.3538432;1.0;80.0;63.0;10.0
TRANSPORTS RUBIO 1;50.1105419;1.8651387;1.0;59.0;57.0;5.0
BUONOCORE GROUP - EUROBOOKING SRL 1;49.2898345;6.532456099999999;1.0;92.0;24.0;0.0
Genovarent 1;49.119963;6.219034;1.0;61.0;27.0;10.0
Lorenzini 1;49.2341612;6.1652207;1.0;65.0;36.0;6.0
Tuscany Bus 1;48.080484000000006;-1.73545;1.0;63.0;19.0;6.0
Blaguss Alps GmbH 1;47.9556823;-1.5016757;1.0;63.0;53.0;50.0
Lyst-Reisen Stefan Lyding KG 1;49.206809;3.501761;1.0;63.0;49.0;23.0
FAP SRL 1;47.9162603;1.9448028000000002;1.0;0.0;0.0;150.0
Donati 1;44.722407000000004;-0.5357649999999999;1.0;64.0;8.0;0.0
Corti Bus 1;47.708287;7.851947999999999;1.0;50.0;25.0;8.0
CORNACCHINI 1;47.263709999999996;-1.342043;1.0;83.0;27.0;74.0
Corbus 1;47.051531;-1.631082;1.0;83.0;27.0;74.0
ROSSI AUTOSERVIZI 1;45.7505124;3.157508;1.0;63.0;8.0;15.0
FAVARETTO 1;48.832172799999995;2.3887946;1.0;77.0;19.0;8.0
CAVERZAN 1;55.4246838;12.1496006;1.0;84.0;19.0;0.0
PAVIN AUTOSERVIZI 1;47.3788248;0.7392214;1.0;57.0;34.0;6.0
CANALIBUS 1;47.972499;2.738086;1.0;63.0;38.0;8.0
D'Agostino Tour 1;45.846538200000005;3.525375;1.0;59.0;32.0;6.0
Visus Bus 1;52.58511;13.233470000000011;1.0;49.0;16.0;1.0
Seemann-Reisen 1;47.728277;7.423814999999999;1.0;64.0;32.0;25.0
Bonomi SRL 1;48.55049520000001;-3.3912383000000004;1.0;63.0;36.0;57.0
DI FONZO 1;55.65762779999999;12.553247699999929;1.0;78.0;16.0;20.0
GRUPPO TINTI 1;44.700596000000004;10.446232;1.0;56.0;23.0;9.0
GENERAL TRAVEL 1;43.14137;6.059862;1.0;59.0;22.0;16.0
CALICIOTTI BUS 1;43.9102708;-0.46473290000000006;1.0;78.0;4.0;0.0
non contattare BARGAGLI 1;43.567881;-1.141168;1.0;78.0;4.0;0.0
CARONNA BUS 1;43.32157;-1.0293215;1.0;63.0;8.0;27.0
CAPERNA 1;45.753943799999995;4.864464599999999;1.0;50.0;8.0;10.0
GUNETTO 1;45.615446;9.421399000000001;1.0;84.0;8.0;19.0
MERLO VIAGGI 1;48.338637;6.6561443;1.0;65.0;27.0;30.0
Maiellaro Bus 1;43.6353778;1.3725715;1.0;61.0;34.0;15.0
B-Travel 1;48.3962951;0.0903921;1.0;61.0;53.0;0.0
Capitale Cars 1;51.32830999999999;13.955600000000004;1.0;53.0;8.0;12.0
Philibert/ Domene 1;48.125598499999995;16.327778599999988;1.0;49.0;44.0;10.0
Les Cars Saint Martin 1;45.967058200000004;-0.9849089;1.0;57.0;53.0;4.0
Ginhoux 1;43.2633737;5.3738454;1.0;54.0;15.0;0.0
Grindler autocars 1;45.7292737;4.8768831;1.0;54.0;15.0;0.0
Musik Reisen Schweicker 1;45.719923;4.979576;1.0;67.0;48.0;25.0
Reisedienst Hamburg-Nord Bossel KG 1;49.204918799999994;2.5994632999999996;1.0;67.0;0.0;15.0
Fr.- Wilhelm Langreder 1;46.952335999999995;6.108813;1.0;87.0;9.0;26.0
Reisebüro & Omnibusbetrieb Tirtey GmbH & Co. KG 1;44.242536;5.080385;1.0;61.0;8.0;30.0
Bothe Clubreisen 1;43.94252720000001;4.801984;1.0;61.0;8.0;30.0
Dardenne Reisen GmbH 1;44.137954;4.807783000000001;1.0;61.0;8.0;30.0
Brune Busse e.K. 1;49.208312;-0.43750900000000004;1.0;63.0;9.0;7.0
Sieke KG 1;48.950416100000005;-0.9318171000000001;1.0;63.0;53.0;3.0
Grund Omnibusbetrieb GmbH & Co. KG 1;49.028783600000004;-0.6749379;1.0;0.0;0.0;0.0
ROLAND ZEMP Carreisen & Kleinbusvermietung 1;48.775748;-0.5661649999999999;1.0;0.0;0.0;0.0
Albus München GmbH 1;49.82732;0.9136110000000001;1.0;57.0;8.0;17.0
Frey-Reisen 1;49.610547;0.7466119999999999;1.0;81.0;16.0;100.0
BeSt-Car-Reisen GmbH 1;49.508896;0.221958;1.0;81.0;16.0;100.0
Müller Carreisen GmbH 1;49.8675757;1.1796528999999998;1.0;0.0;0.0;0.0
Straubhaar Carreisen 1;49.901677;1.1130209999999998;1.0;63.0;7.0;55.0
Wenger Reisen AG 1;49.7487845;0.4076829;1.0;0.0;0.0;0.0
DEINEMUDDA Travel ltd 1;47.905895;1.5255809999999999;1.0;79.0;34.0;53.0
Potsdam Bus GmbH 1;49.88583;2.2683237000000003;1.0;0.0;0.0;0.0
TRS Grabow 1;50.131543;2.172577;1.0;63.0;55.0;6.0
Schröder Fläming-Tours Reise GmbH 1;50.8284351;4.340394799999999;1.0;54.0;37.0;0.0
Schramms Busreisen 1;50.63879;3.778782;1.0;0.0;0.0;0.0
Voyages Gandon 1;50.70411420000001;4.4089834;1.0;51.0;18.0;5.0
Us?ugi Autokarowe ER-BUS Robert Bo?yk 1;43.468769;11.136627;1.0;50.0;16.0;8.0
ITALIANSTAR SRL 1;51.250787;6.9778270000000004;1.0;78.0;3.0;19.0
FANCY TOUR SRL 1;45.8458429;5.9581258;1.0;63.0;8.0;45.0
LiderBus Przewóz osób - us?ugi transportowe Robert Ka?ek 1;45.881526;6.1119;1.0;65.0;7.0;30.0
CALABRESI 1;48.7503126;2.4676588;1.0;93.0;9.0;0.0
ZANI VIAGGI 1;43.282785;5.4547042;1.0;63.0;53.0;9.0
Carminati 1;49.2254953;4.001168700000001;1.0;78.0;12.0;0.0
NICOLINI VIAGGI SNC 1;44.386111;6.651768;1.0;63.0;22.0;30.0
SAI TREVIGLIO 1;43.37085;5.607833;1.0;63.0;22.0;30.0
AUTOSERVIZI CAZZANIGA 1;42.6328896;2.7569362999999996;1.0;0.0;0.0;0.0
Transguard 1;45.674004;-0.979967;1.0;61.0;57.0;3.0
Autocars De Polder nv 1;43.954307;12.727253999999999;1.0;0.0;0.0;0.0
Kras Touringcars BV 1;48.7182102;2.5640696;1.0;59.0;15.0;9.0
Becker-Strelitz Reisen GmbH 1;48.954909;2.279138;1.0;53.0;7.0;10.0
Buszentrale Hamburg 1;45.01316729999999;-0.0648422;1.0;61.0;26.0;0.0
Cars Saint Laurent/ Saint Firmin des Prés 1;45.213135;-0.183694;1.0;63.0;9.0;11.0
Pouw Vervoer BV 1;44.971626;-0.16538;1.0;63.0;9.0;11.0
Gilch GmbH 1;48.745405700000006;1.4285705;1.0;63.0;8.0;15.0
Schröder Langzeitbus 1 1;43.173604;2.8326592999999995;1.0;55.0;19.0;18.0
Rigaudeau 1;40.672206;14.78006;1.0;0.0;0.0;0.0
BUS-TRANSPORT TOMASZ OLESZEK 1;44.398258;8.949557;1.0;55.0;8.0;27.0
Mobilen Comfortclass Wojciech Orski 1;44.077439;10.029865;1.0;88.0;28.0;30.0
NORBIS Przewozy Pasa?erskie 1;43.552596;10.301008;1.0;62.0;50.0;7.0
Chaintrier 1;47.80692929999999;13.067433100000017;1.0;76.0;18.0;10.0
NAP Tourisme/ Le Rove & Aubagne 1;49.89186;9.826299;1.0;49.0;49.0;2.0
Raf Trans Sp. z o.o. 1;43.916827000000005;10.940671;1.0;63.0;19.0;10.0
VTNI Voyages / Le Havre 1;43.400626;10.453322;1.0;53.0;5.0;5.0
Chaigneau Voyages 1;43.596629;10.475047;1.0;50.0;30.0;5.0
Jordan Group Jacek Legendziewicz 1;44.946165;11.286652;1.0;62.0;8.0;16.0
My Tourism Transdev 1;44.945589;11.287336;1.0;88.0;21.0;17.0
MyTourism Transdev 1;44.625277000000004;11.272074;1.0;56.0;8.0;8.0
Transports Guillermin / Cevins 1;45.85385999999999;11.987932999999998;1.0;54.0;13.0;20.0
Transports Guillermin / Chimilin 1;45.774249;12.05257;1.0;74.0;24.0;6.0
Launoy Tourisme / Dombasle-sur-Meurthe 1;45.582791;11.861969;1.0;54.0;8.0;8.0
Chauchard Autocars / Bessières 1;45.755133;9.26304200000004;1.0;54.0;8.0;8.0
Cars Périer / Le Havre 1;42.901977;13.864474;1.0;64.0;9.0;14.0
Cars Périer / Le Grand Quevilly 1;40.928894;14.218829999999999;1.0;52.0;9.0;18.0
Autocars Faure / Tulle 1;45.543634999999995;13.733849;1.0;51.0;8.0;5.0
S.N.V.A Europe Autocars / Grenoble 1;52.4948;13.181510000000005;1.0;48.0;48.0;1.0
S.N.V.A Europe Autocars / St Pierre d'Allevard 1;45.864767;10.145932;1.0;84.0;9.0;40.0
Transports Jardel / Montauban 1;41.867169;14.542226999999999;1.0;80.0;9.0;17.0
RST Main Group / Maubeuge 1;41.880340000000004;12.360814;1.0;65.0;8.0;10.0
RST Main Group / Charleroi 1;41.741735;13.33381;1.0;0.0;0.0;0.0
Les Cars du Bocages - Chaigneau 1;41.726559;12.832374;1.0;0.0;0.0;0.0
Neubauer Touristik GmbH 1;42.851287;11.699341;1.0;56.0;19.0;12.0
Ortet / Tarbes 1;43.659139;10.547311;1.0;62.0;6.0;5.0
Ortet / Toulouse 1;41.907652;12.586802;1.0;88.0;20.0;70.0
Les cars Fraizy / Montargis 1;44.560834;7.733353;1.0;0.0;0.0;12.0
Les cars Fraizy / Pithiviers 1;44.4250564;7.5238451999999825;1.0;76.0;9.0;15.0
DAMAROBUS s.c. 1;40.952571;17.293295999999998;1.0;78.0;26.0;6.0
Transports Fontaimpe 1;50.627971;4.795634;1.0;79.0;7.0;9.0
Przewozy Autokarowe Omega Grzegorz ?widzi?ski 1;50.865019000000004;4.301683000000001;1.0;83.0;16.0;0.0
Voyages Bertrand 1;45.196984;5.819252;1.0;63.0;9.0;0.0
Autoservizi MERIDIONALI srl 1;47.3857198;0.7001583;1.0;0.0;0.0;0.0
Auriga Tours 1;43.836110600000005;4.3517392;1.0;81.0;8.0;0.0
Brusutti 1;45.0560935;5.6829802;1.0;72.0;40.0;12.0
Les Cars Le Vacon 1;48.75548;9.6874;1.0;58.0;9.0;20.0
CHIRIATTI 1;53.6313752;9.92470800000001;1.0;59.0;32.0;8.0
MOCCI 1;52.65623000000001;9.406169999999976;1.0;57.0;48.0;6.0
FABBRI 1;50.9581661;6.4709155000000464;1.0;82.0;8.0;11.0
Viaggi Vacanze 1;52.88702979999999;8.412888100000032;1.0;53.0;17.0;9.0
Les Rapides du Poitou 1;50.5422211;6.486093999999981;1.0;57.0;19.0;6.0
Cars Jacquemard 1;51.561104;7.052046600000041;1.0;63.0;16.0;14.0
Le Comptoir Jacqueson 1;51.51103269999999;8.996863399999938;1.0;78.0;38.0;4.0
Groupe Partir Ensemble 1;52.36775009999999;9.996823100000027;1.0;58.0;45.0;5.0
